Node,Network,hemisphere
1,2,2
2,4,2
3,3,2
4,2,2
5,3,2
6,3,2
7,2,2
8,2,2
9,2,2
10,1,2
11,4,2
12,1,2
13,3,2
14,2,2
15,4,2
16,1,2
17,2,2
18,4,2
19,2,2
20,4,2
21,2,2
22,2,2
23,5,2
24,5,2
25,5,2
26,5,2
27,5,2
28,4,2
29,4,2
30,2,2
31,2,2
32,4,2
33,5,2
34,5,2
35,5,2
36,4,2
37,5,2
38,5,2
39,5,2
40,5,2
41,8,2
42,6,2
43,8,2
44,4,2
45,5,2
46,5,2
47,2,2
48,2,2
49,3,2
50,3,2
51,5,2
52,1,2
53,1,2
54,1,2
55,2,2
56,1,2
57,1,2
58,5,2
59,8,2
60,5,2
61,5,2
62,5,2
63,5,2
64,1,2
65,1,2
66,8,2
67,8,2
68,6,2
69,8,2
70,2,2
71,8,2
72,6,2
73,8,2
74,8,2
75,6,2
76,7,2
77,6,2
78,7,2
79,6,2
80,6,2
81,7,2
82,6,2
83,4,2
84,5,2
85,3,2
86,3,2
87,6,2
88,4,2
89,5,2
90,3,2
91,4,2
92,5,2
93,4,2
94,4,2
95,4,2
96,3,2
97,5,2
98,6,2
99,4,2
100,7,2
101,4,2
102,7,2
103,4,2
104,4,2
105,4,2
106,4,2
107,4,2
108,4,2
109,5,2
110,4,2
111,2,2
112,2,2
113,4,2
114,4,2
115,3,2
116,2,2
117,4,2
118,4,2
119,4,2
120,4,2
121,4,2
122,4,2
123,4,2
124,4,2
125,4,2
126,4,2
127,4,2
128,4,2
129,4,2
130,4,2
131,4,2
132,4,2
133,4,2
134,3,1
135,4,1
136,4,1
137,1,1
138,3,1
139,2,1
140,1,1
141,3,1
142,2,1
143,2,1
144,4,1
145,1,1
146,4,1
147,2,1
148,1,1
149,1,1
150,1,1
151,1,1
152,4,1
153,1,1
154,2,1
155,4,1
156,1,1
157,2,1
158,5,1
159,5,1
160,5,1
161,5,1
162,1,1
163,5,1
164,2,1
165,1,1
166,5,1
167,5,1
168,5,1
169,4,1
170,5,1
171,5,1
172,5,1
173,5,1
174,5,1
175,8,1
176,6,1
177,8,1
178,4,1
179,5,1
180,5,1
181,5,1
182,2,1
183,1,1
184,2,1
185,1,1
186,1,1
187,1,1
188,5,1
189,5,1
190,1,1
191,5,1
192,1,1
193,2,1
194,1,1
195,5,1
196,2,1
197,5,1
198,6,1
199,2,1
200,8,1
201,8,1
202,5,1
203,3,1
204,8,1
205,6,1
206,8,1
207,6,1
208,6,1
209,8,1
210,8,1
211,6,1
212,7,1
213,7,1
214,7,1
215,6,1
216,6,1
217,4,1
218,5,1
219,1,1
220,4,1
221,4,1
222,3,1
223,3,1
224,4,1
225,3,1
226,4,1
227,3,1
228,5,1
229,4,1
230,4,1
231,4,1
232,4,1
233,4,1
234,4,1
235,5,1
236,4,1
237,4,1
238,4,1
239,3,1
240,8,1
241,7,1
242,2,1
243,4,1
244,4,1
245,4,1
246,2,1
247,2,1
248,4,1
249,4,1
250,4,1
251,4,1
252,4,1
253,4,1
254,4,1
255,4,1
256,4,1
257,4,1
258,4,1
259,4,1
260,4,1
261,4,1
262,4,1
263,4,1
264,4,1
265,4,1
266,4,1
267,4,1
268,4,1
